label,text,length,cleaned_text
ham,dear hero i am leaving to qatar tonite for an apt opportunity pls do keep in touch at lt email gt kerala,108,dear hero leav qatar tonit apt opportun pl keep touch lt email gt kerala
ham,lol i would but my mom would have a fit and tell the whole family how crazy and terrible i am,93,lol would mom would fit tell whole famili crazi terribl
ham,i just got home babe are you still awake ,43,got home babe still awak
ham,i dunno they close oredi not ìï v ma fan ,46,dunno close oredi ìï v fan
ham,just buy a pizza meat lovers or supreme u get to pick ,56,buy pizza meat lover suprem u get pick
ham,ya told she was asking wats matter ,37,ya told ask wat matter
ham,dear regret i cudnt pick call drove down frm ctla now at cochin home left mobile in car ente style ishtamayoo happy bakrid ,124,dear regret cudnt pick call drove frm ctla cochin home left mobil car ent style ishtamayoo happi bakrid
spam,free for st week no nokia tone ur mob every week just txt nokia to get txting and tell ur mates www getzed co uk pobox w wq norm p tone ,158,free st week nokia tone ur mob everi week txt nokia get txting tell ur mate www getz co uk pobox w wq norm p tone
ham,shall i send that exe to your mail id ,38,shall send exe mail id
ham,nope watching tv at home not going out v bored ,53,nope watch tv home go v bore
ham,don know wait i will check it ,31,know wait check
ham,good afternoon on this glorious anniversary day my sweet j i hope this finds you happy and content my prey i think of you and send a teasing kiss from across the sea coaxing images of fond souveniers you cougar pen,224,good afternoon gloriou anniversari day sweet j hope find happi content prey think send teas kiss across sea coax imag fond souveni cougar pen
spam,guess what somebody you know secretly fancies you wanna find out who it is give us a call on from landline datebox essexcm xn p min ,156,guess somebodi know secretli fanci wanna find give us call landlin datebox essexcm xn p min
ham,we still on for tonight ,24,still tonight
ham,may i call you later pls,24,may call later pl
ham,hasn t that been the pattern recently crap weekends ,52,pattern recent crap weekend
ham,i have a sore throat it s scratches when i talk,48,sore throat scratch talk
ham,yes da any plm at ur office,28,ye da plm ur offic
ham,are you not around or just still asleep v,43,around still asleep v
ham,lol you forgot it eh yes i ll bring it in babe,49,lol forgot eh ye bring babe
ham,its good we ll find a way,26,good find way
ham,can not use foreign stamps in this country good lecture ,58,use foreign stamp countri good lectur
ham,yup bathe liao ,17,yup bath liao
ham,happy new year my no man,26,happi new year man
ham,oh mr sheffield you wanna play that game okay you re the boss and i m the nanny you give me a raise and i ll give you one ,127,oh mr sheffield wanna play game okay boss nanni give rais give one
ham,zoe it just hit me im fucking shitin myself il defo try my hardest cum morow luv u millions lekdog,103,zoe hit im fuck shitin il defo tri hardest cum morow luv u million lekdog
ham,hello baby did you get back to your mom s are you setting up the computer now filling your belly how goes it loverboy i miss you already sighs ,157,hello babi get back mom set comput fill belli goe loverboy miss alreadi sigh
ham,no my blankets are sufficient thx,34,blanket suffici thx
ham,naughty little thought its better to flirt flirt n flirt rather than loving someone n gettin hurt hurt n hurt gud nyt,128,naughti littl thought better flirt flirt n flirt rather love someon n gettin hurt hurt n hurt gud nyt
ham,edison has rightly said a fool can ask more questions than a wise man can answer now you know why all of us are speechless during viva gm,143,edison rightli said fool ask question wise man answer know us speechless viva gm
ham,they just talking thats it de they wont any other ,51,talk that de wont
ham,today am going to college so am not able to atten the class ,60,today go colleg abl atten class
ham,i m in class will holla later,30,class holla later
ham,mmm thats better now i got a roast down me iåõd b better if i had a few drinks down me good indian ,103,mmm that better got roast iåõd b better drink good indian
spam,we know someone who you know that fancies you call to find out who pobox ls hb p,101,know someon know fanci call find pobox ls hb p
ham,come round it s ,19,come round
ham,do thing change that sentence into because i want concentrate in my educational career im leaving here ,114,thing chang sentenc want concentr educ career im leav
spam, s flirting now txt girl or bloke ur name age eg girl zoe to to join and get chatting ,104,flirt txt girl bloke ur name age eg girl zoe join get chat
ham,i walked an hour c u doesnåõt that show i care y wont u believe im serious ,78,walk hour c u doesnåõt show care wont u believ im seriou
spam, days to euro kickoff u will be kept informed of all the latest news and results daily unsubscribe send get euro stop to ,135,day euro kickoff u kept inform latest news result daili unsubscrib send get euro stop
ham,are you available for soiree on june rd ,41,avail soire june rd
ham,do u noe wat time e place dat sells d closes ,46,u noe wat time e place dat sell close
ham,i got another job the one at the hospital doing data analysis or something starts on monday not sure when my thesis will got finished,136,got anoth job one hospit data analysi someth start monday sure thesi got finish
ham,jay s getting really impatient and belligerent,46,jay get realli impati belliger
ham,hiya comin bristol st week in april les got off rudi on new yrs eve but i was snoring they were drunk u bak at college yet my work sends ink bath ,157,hiya comin bristol st week april le got rudi new yr eve snore drunk u bak colleg yet work send ink bath
ham,i m at work please call,24,work pleas call
ham,then u drive lor ,17,u drive lor
ham,ard like dat y ,20,ard like dat
ham,tell me they re female v how re you throwing in we re deciding what all to get now,84,tell femal v throw decid get
spam,eastenders tv quiz what flower does dot compare herself to d violet e tulip f lily txt d e or f to now chance win å cash wkent p ,153,eastend tv quiz flower dot compar violet e tulip f lili txt e f chanc win å cash wkent p
ham,i m working technical support voice process networking field ,63,work technic support voic process network field
ham,i might come to kerala for days so you can be prepared to take a leave once i finalise dont plan any travel during my visit need to finish urgent works ,155,might come kerala day prepar take leav finalis dont plan travel visit need finish urgent work
ham,ok not sure what time tho as not sure if can get to library before class will try see you at some point have good eve ,122,ok sure time tho sure get librari class tri see point good eve
spam,we have new local dates in your area lots of new people registered in your area reply date to start now only www flirtparty us replys ,143,new local date area lot new peopl regist area repli date start www flirtparti us repli
ham,that s fine i ll bitch at you about it later then,50,fine bitch later
ham,no my mum went dentist ,25,mum went dentist
ham,once free call me sir i am waiting for you ,44,free call sir wait
ham,meeting u is my work tel me when shall i do my work tomorrow,65,meet u work tel shall work tomorrow
spam,someone u know has asked our dating service contact you cant guess who call now all will be revealed po box m wu,134,someon u know ask date servic contact cant guess call reveal po box wu
ham,jus finish bathing ,21,ju finish bath
ham,alright i ll make sure the car is back tonight,47,alright make sure car back tonight
spam,urgent we are trying to contact u todays draw shows that you have won a å prize guaranteed call from land line claim c valid hrs only,157,urgent tri contact u today draw show å prize guarante call land line claim c valid hr
spam,dear u ve been invited to xchat this is our final attempt to contact u txt chat to ,90,dear u invit xchat final attempt contact u txt chat
ham,lul im gettin some juicy gossip at the hospital two nurses are talking about how fat they are gettin and one thinks shes obese oyea ,135,lul im gettin juici gossip hospit two nurs talk fat gettin one think she obes oyea
ham,aight ill get on fb in a couple minutes,39,aight ill get fb coupl minut
ham,oi ami parchi na re kicchu kaaj korte iccha korche na phone ta tul na plz plz ,83,oi ami parchi na kicchu kaaj kort iccha korch na phone ta tul na plz plz
ham,where can download clear movies dvd copies ,44,download clear movi dvd copi
ham,yep by the pretty sculpture,28,yep pretti sculptur
ham,convey my regards to him,24,convey regard
ham,me too watching surya movie only after pm vijay movie pokkiri,67,watch surya movi pm vijay movi pokkiri
ham,you tell what happen dont behave like this to me ok no need to say,67,tell happen dont behav like ok need say
ham,can u get pic msgs to your phone ,33,u get pic msg phone
ham,send to someone else ,24,send someon els
ham,wat makes some people dearer is not just de happiness dat u feel when u meet them but de pain u feel when u miss dem ,119,wat make peopl dearer de happi dat u feel u meet de pain u feel u miss dem
ham,for me the love should start with attraction i should feel that i need her every time around me she should be the first thing which comes in my thoughts i would start the day and end it with her she should be there every time i dream love will be then when my every breath has her name my life should happen around her my life will be named to her i would cry for her will give all my happiness and take all her sorrows i will be ready to fight with anyone for her i will be in love when i will be doing the craziest things for her love will be when i don t have to proove anyone that my girl is the most beautiful lady on the whole planet i will always be singing praises for her love will be when i start up making chicken curry and end up makiing sambar life will be the most beautiful then will get every morning and thank god for the day because she is with me i would like to say a lot will tell later ,910,love start attract feel need everi time around first thing come thought would start day end everi time dream love everi breath name life happen around life name would cri give happi take sorrow readi fight anyon love craziest thing love proov anyon girl beauti ladi whole planet alway sing prais love start make chicken curri end maki sambar life beauti get everi morn thank god day would like say lot tell later
ham,fr ndship is like a needle of a clock though v r in d same clock v r nt able met evn if v meet itz only few seconds bt v alwys stay conected gud t ,158,fr ndship like needl clock though v r clock v r nt abl met evn v meet itz second bt v alwi stay conect gud
ham,i don t think he has spatula hands ,35,think spatula hand
ham,you can never do nothing,24,never noth
spam,you are awarded a sipix digital camera call from landline delivery within days t cs box m bp yr warranty ppm p på ,153,award sipix digit camera call landlin deliveri within day cs box bp yr warranti ppm p på
ham,goodmorning today i am late for lt decimal gt min ,53,goodmorn today late lt decim gt min
spam,win urgent your mobile number has been awarded with a å prize guaranteed call from land line claim valid hrs only ppm ,147,win urgent mobil number award å prize guarante call land line claim valid hr ppm
ham,please da call me any mistake from my side sorry da pls da goto doctor ,72,pleas da call mistak side sorri da pl da goto doctor
ham,where r we meeting ,19,r meet
ham,well the weather in cali s great but its complexities are great you need a car to move freely its taxes are outrageous but all in all its a great place the sad part is i missing home ,188,well weather cali great complex great need car move freeli tax outrag great place sad part miss home
ham,now only i reached home i am very tired now i will come tomorro,71,reach home tire come tomorro
ham,ryder unsold now gibbs ,23,ryder unsold gibb
spam,dear subscriber ur draw å gift voucher will b entered on receipt of a correct ans when was elvis presleys birthday txt answer to ,142,dear subscrib ur draw å gift voucher b enter receipt correct an elvi presley birthday txt answer
ham,don t fret i ll buy the ovulation test strips and send them to you you wont get them til like march can you send me your postal address u ll be alright okay ,160,fret buy ovul test strip send wont get til like march send postal address u alright okay
ham,no gifts you trying to get me to throw myself off a cliff or something ,73,gift tri get throw cliff someth
ham,been up to ne thing interesting did you have a good birthday when are u wrking nxt i started uni today ,106,ne thing interest good birthday u wrking nxt start uni today
ham,you busy or can i come by at some point and figure out what we re doing tomorrow,80,busi come point figur tomorrow
ham,yeah go on then bored and depressed sittin waitin for phone to ring hope the wind drops though scary,105,yeah go bore depress sittin waitin phone ring hope wind drop though scari
ham,black shirt n blue jeans i thk i c ì ,43,black shirt n blue jean thk c ì
ham,aiyah sorry lor i watch tv watch until i forgot check my phone ,68,aiyah sorri lor watch tv watch forgot check phone
spam,message important information for o user today is your lucky day find out why log onto http www urawinner com there is a fantastic surprise awaiting you,159,messag import inform user today lucki day find log onto http www urawinn com fantast surpris await
ham,on hen night going with a swing,32,hen night go swing
ham,good afternoon my love how goes your day what are you up to i woke early and am online waiting for you hmmm italian boy is online i see grins ,159,good afternoon love goe day woke earli onlin wait hmmm italian boy onlin see grin
ham,from someone not to smoke when every time i ve smoked in the last two weeks is because of you calling or texting me that you wanted to smoke,140,someon smoke everi time smoke last two week call text want smoke
ham,no you ll just get a headache trying to figure it out u can trust me to do the math i promise o ,101,get headach tri figur u trust math promis
ham,s s first time dhoni rocks ,31,first time dhoni rock
ham,ok ill tell the company,23,ok ill tell compani
ham,awesome think we can get an th at usf some time tonight ,58,awesom think get th usf time tonight
ham,so that means you still think of teju,37,mean still think teju
ham,no i m good for the movie is it ok if i leave in an hourish ,61,good movi ok leav hourish
ham,no no this is kallis home ground amla home town is durban ,60,kalli home ground amla home town durban
ham,so lets make it saturday or monday as per convenience ,54,let make saturday monday per conveni
ham,hey what time is your driving on fri we go for evaluation on fri ,69,hey time drive fri go evalu fri
spam, you have won a å price to claim call ,70,å price claim call
ham,i m going lunch now wif my family then aft dat i go str orchard lor ,72,go lunch wif famili aft dat go str orchard lor
spam,bored of speed dating try speedchat txt speedchat to if you don t like em txt swap and get a new chatter chat pobox w wq p msg rcd ,156,bore speed date tri speedchat txt speedchat like em txt swap get new chatter chat pobox w wq p msg rcd
ham,cancel cheyyamo and get some money back ,40,cancel cheyyamo get money back
spam,do you want anytime any network mins text and a new video phone for only five pounds per week call now or reply for delivery tomorrow,153,want anytim network min text new video phone five pound per week call repli deliveri tomorrow
ham,ok ok ok then whats ur todays plan,36,ok ok ok what ur today plan
ham,good morning princess how are you ,35,good morn princess
ham,aiyar sorry lor forgot tell u ,34,aiyar sorri lor forgot tell u
spam,for taking part in our mobile survey yesterday you can now have texts use however you wish get txts just send txt to t c www txt com p,156,take part mobil survey yesterday text use howev wish get txt send txt c www txt com p
ham,not tonight mate catching up on some sleep this is my new number by the way ,79,tonight mate catch sleep new number way
ham,height of oh shit situation a guy throws a luv letter on a gal but falls on her brothers head whos a gay,114,height oh shit situat guy throw luv letter gal fall brother head who gay
spam,ur hmv quiz cash balance is currently å to maximize ur cash in now send hmv to only p msg,105,ur hmv quiz cash balanc current å maxim ur cash send hmv p msg
ham,so check your errors and if you had difficulties do correction ,64,check error difficulti correct
ham,howz pain hope u r fine ,25,howz pain hope u r fine
ham,u wake up already thanx e tau sar piah it s quite nice ,58,u wake alreadi thanx e tau sar piah quit nice
ham,k do i need a login or anything,31,k need login anyth
spam,dont forget you can place as many free requests with stchoice co uk as you wish for more information call ,120,dont forget place mani free request stchoic co uk wish inform call
ham,lol no just was busy,24,lol busi
ham,what u wearing ,17,u wear
ham,oh as usual vijay film or its different ,41,oh usual vijay film differ
spam,i don t know u and u don t know me send chat to now and let s find each other only p msg rcvd hg suite lands row w j hl ldn years or over ,158,know u u know send chat let find p msg rcvd hg suit land row w j hl ldn year
ham,have you had a good day mine was really busy are you up to much tomorrow night ,80,good day mine realli busi much tomorrow night
ham,and is there a way you can send shade s stuff to her and she has been wonderful too ,85,way send shade stuff wonder
ham,really i tot ur paper ended long ago but wat u copied jus now got use u happy lar i still haf study ,115,realli tot ur paper end long ago wat u copi ju got use u happi lar still haf studi
spam,thank you winner notified by sms good luck no future marketing reply stop to customer services ,115,thank winner notifi sm good luck futur market repli stop custom servic
ham,babe i lost you ,25,babe lost
ham,ok help me ask if she s working tmr a not ,45,ok help ask work tmr
ham,i m not driving raining then i ll get caught at e mrt station lor ,70,drive rain get caught e mrt station lor
ham,not a drop in the tank,22,drop tank
ham, that said can you text him one more time ,43,said text one time
ham,ok i go change also ,22,ok go chang also
spam, s of girls many local u who r virgins this r ready fil ur every sexual need can u fil theirs text cute to å p m ,140,girl mani local u r virgin r readi fil ur everi sexual need u fil text cute å p
ham,did u find a sitter for kaitlyn i was sick and slept all day yesterday ,72,u find sitter kaitlyn sick slept day yesterday
ham,sorry man accidentally left my phone on silent last night and didn t check it til i got up,91,sorri man accident left phone silent last night check til got
ham,hey something came up last min think i wun be signing up tmr hee,70,hey someth came last min think wun sign tmr hee
ham,he s an adult and would learn from the experience there s no real danger i just dont like peeps using drugs they dont need but no comment,140,adult would learn experi real danger dont like peep use drug dont need comment
ham,hey there s veggie pizza ,31,hey veggi pizza
ham,yun buying but school got offer plus only ,52,yun buy school got offer plu
ham,you sure your neighbors didnt pick it up,40,sure neighbor didnt pick
ham,k i will sent it again,23,k sent
ham,well im computerless time to make some oreo truffles,54,well im computerless time make oreo truffl
ham,haha yeah i see that now be there in a sec,43,haha yeah see sec
ham,i am not having her number sir,30,number sir
ham,lol now i m after that hot air balloon ,39,lol hot air balloon
ham,ok now i am in bus if i come soon i will come otherwise tomorrow,71,ok bu come soon come otherwis tomorrow
ham,msgs r not time pass they silently say that i am thinking of u right now and also making u think of me at least a moment gd nt swt drms shesil,146,msg r time pass silent say think u right also make u think least moment gd nt swt drm shesil
ham,yeah we can probably swing by once my roommate finishes up with his girl,73,yeah probabl swing roommat finish girl
spam,got what it takes take part in the wrc rally in oz u can with lucozade energy text rally le to p see packs or lucozade co uk wrc itcould be u ,159,got take take part wrc ralli oz u lucozad energi text ralli le p see pack lucozad co uk wrc itcould u
ham,happy new years melody ,23,happi new year melodi
ham,ìï dun need to pick ur gf ,26,ìï dun need pick ur gf
ham,yay you better not have told that to other girls either ,59,yay better told girl either
ham,horrible u eat macs eat until u forgot abt me already rite u take so long reply i thk it s more toot than b so b prepared now wat shall i eat ,150,horribl u eat mac eat u forgot abt alreadi rite u take long repli thk toot b b prepar wat shall eat
ham,did he say how fantastic i am by any chance or anything need a bigger life lift as losing the will live do you think i would be the first person die from n v q ,167,say fantast chanc anyth need bigger life lift lose live think would first person die n v q
ham,just nw i came to hme da ,26,nw came hme da
ham,i m outside islands head towards hard rock and you ll run into me,66,outsid island head toward hard rock run
ham,to day class is there are no class ,35,day class class
ham,i m in chennai velachery ,26,chennai velacheri
ham,you flippin your shit yet ,26,flippin shit yet
ham,k give me a sec breaking a lt gt at cstore,49,k give sec break lt gt cstore
ham,am i that much bad to avoid like this ,38,much bad avoid like
ham,yo you around just got my car back,36,yo around got car back
ham,annoying isn t it ,18,annoy
ham,goodmorning today i am late for lt gt min ,48,goodmorn today late lt gt min
ham,there s no point hangin on to mr not right if he s not makin u happy,68,point hangin mr right makin u happi
ham,all will come alive better correct any good looking figure there itself ,73,come aliv better correct good look figur
ham,in that case i guess i ll see you at campus lodge,49,case guess see campu lodg
ham,we re done ,13,done
ham,come to my home for one last time i wont do anything trust me ,63,come home one last time wont anyth trust
ham,i was up all night too worrying about this appt it s a shame we missed a girls night out with quizzes popcorn and you doing my hair ,133,night worri appt shame miss girl night quizz popcorn hair
spam,sex up ur mobile with a free sexy pic of jordan just text babe to then every wk get a sexy celeb pocketbabe co uk more pics å wk ,155,sex ur mobil free sexi pic jordan text babe everi wk get sexi celeb pocketbab co uk pic å wk
ham,ok c ya ,13,ok c ya
spam,you have new voicemail please call ,49,new voicemail pleas call
ham,what he said is not the matter my mind saying some other matter is there ,74,said matter mind say matter
ham,al he does is moan at me if n e thin goes wrong its my fault al de arguments r my fault fed up of him of himso y bother hav go thanx xx,138,al moan n e thin goe wrong fault al de argument r fault fed himso bother hav go thanx xx
ham,neft transaction with reference number lt gt for rs lt decimal gt has been credited to the beneficiary account on lt gt at lt time gt lt gt ,164,neft transact refer number lt gt rs lt decim gt credit beneficiari account lt gt lt time gt lt gt
ham,otherwise had part time job na tuition ,40,otherwis part time job na tuition
ham,i know she called me,20,know call
ham,me also da i feel yesterday night wait til day night dear ,61,also da feel yesterday night wait til day night dear
ham,thanks for understanding i ve been trying to tell sura that ,61,thank understand tri tell sura
spam,win a year supply of cds a store of ur choice worth å enter our å weekly draw txt music to ts cs www ldew com subs win ppmx ,147,win year suppli cd store ur choic worth å enter å weekli draw txt music ts cs www ldew com sub win ppmx
ham,the whole car appreciated the last two dad and are having a map reading semi argument but apart from that things are going ok p ,130,whole car appreci last two dad map read semi argument apart thing go ok p
spam,as a sim subscriber you are selected to receive a bonus get it delivered to your door txt the word ok to no to claim p msg exp apr,148,sim subscrib select receiv bonu get deliv door txt word ok claim p msg exp apr
ham,i need you to be in my strong arms ,37,need strong arm
ham,also maaaan are you missing out,31,also maaaan miss
ham,his bday real is in april ,27,bday real april
ham,guessin you ain t gonna be here before ,41,guessin gonna
ham,ok then i will come to ur home after half an hour,49,ok come ur home half hour
ham,yo the game almost over want to go to walmart soon,52,yo game almost want go walmart soon
ham,yeah probably but not sure ilol let u know but personally i wuldnt bother then again if ur goin to then i mite as well ,124,yeah probabl sure ilol let u know person wuldnt bother ur goin mite well
ham,i ll text now all creepy like so he won t think that we forgot,63,text creepi like think forgot
ham,that would be good û i ll phone you tomo lunchtime shall i to organise something ,85,would good û phone tomo lunchtim shall organis someth
spam,you have new voicemail please call ,50,new voicemail pleas call
ham,damn can you make it tonight or do you want to just wait til tomorrow,70,damn make tonight want wait til tomorrow
ham,k k i m also fine when will you complete the course ,55,k k also fine complet cours
ham,true it is passable and if you get a high score and apply for phd you get years of salary so it makes life easier ,119,true passabl get high score appli phd get year salari make life easier
spam,no nokia tone ur mob every week just txt nok to st tone free so get txtin now and tell ur friends p tone reply hl info,143,nokia tone ur mob everi week txt nok st tone free get txtin tell ur friend p tone repli hl info
ham,prakesh is there know ,22,prakesh know
ham,teach me apps da when you come to college ,43,teach app da come colleg
ham,rofl betta invest in some anti aging products,46,rofl betta invest anti age product
ham,sir you will receive the account no another hr time sorry for the delay ,75,sir receiv account anoth hr time sorri delay
spam,reply with your name and address and you will receive by post a weeks completely free accommodation at various global locations www phb com ph p,159,repli name address receiv post week complet free accommod variou global locat www phb com ph p
ham,so ì ll be submitting da project tmr rite ,43,ì submit da project tmr rite
spam,free entry into our å weekly comp just send the word enter to now t c www textcomp com cust care ,123,free entri å weekli comp send word enter c www textcomp com cust care
ham,jus ans me lar u ll noe later ,31,ju an lar u noe later
ham,i want to send something that can sell fast lt gt k is not easy money ,76,want send someth sell fast lt gt k easi money
ham,have got few things to do may be in pub later ,51,got thing may pub later
ham, s finish meeting call me ,27,finish meet call
ham,lol ok i ll snatch her purse too ,34,lol ok snatch purs
ham, hello drivby quit edrunk sorry iff pthis makes no senrd dnot no how dancce drum n basq ihave fun nhite x ros xxxxxxx ,129,hello drivbi quit edrunk sorri iff pthi make senrd dnot dancc drum n basq ihav fun nhite x ro xxxxxxx
ham,how much are we getting ,24,much get
ham,is ur paper in e morn or aft tmr ,33,ur paper e morn aft tmr
ham,dear relieved of westonzoyland all going to plan this end too ,63,dear reliev westonzoyland go plan end
ham,hope you are having a great new semester do wish you the very best you are made for greatness ,96,hope great new semest wish best made great
ham,oh yes i can speak txt u no hmm did u get email ,53,oh ye speak txt u hmm u get email
ham,i want to show you the world princess how about europe ,59,want show world princess europ
ham,nobody can decide where to eat and dad wants chinese,52,nobodi decid eat dad want chines
ham,no shoot me i m in the docs waiting room ,45,shoot doc wait room
ham,now i m going out dinner soon ,34,go dinner soon
ham,hello which the site to download songs its urgent pls,53,hello site download song urgent pl
ham,i do know what u mean is the king of not havin credit i m goin bed now night night sweet only more sleep ,111,know u mean king havin credit goin bed night night sweet sleep
ham,horrible gal me in sch doing some stuff how come u got mc ,60,horribl gal sch stuff come u got mc
ham,hi hun im not comin nite tell every im sorry me hope u ava goodtime oli rang melnite ifink it mite b sorted but il explain everythin on mon l rs x,152,hi hun im comin nite tell everi im sorri hope u ava goodtim oli rang melnit ifink mite b sort il explain everythin mon l rs x
spam,please call immediately as there is an urgent message waiting for you,81,pleas call immedi urgent messag wait
ham,yeah like if it goes like it did with my friends imma flip my shit in like half an hour,87,yeah like goe like friend imma flip shit like half hour
ham,mum say we wan to go then go then she can shun bian watch da glass exhibition ,84,mum say wan go go shun bian watch da glass exhibit
ham,what your plan for pongal ,26,plan pongal
ham,just wait till end of march when el nino gets himself oh ,58,wait till end march el nino get oh
ham,not yet chikku going to room nw i m in bus ,46,yet chikku go room nw bu
ham,am also doing in cbe only but have to pay ,43,also cbe pay
ham,honey boo i m missing u ,24,honey boo miss u
ham,we have sent jd for customer service cum accounts executive to ur mail id for details contact us,97,sent jd custom servic cum account execut ur mail id detail contact us
ham,yo i m at my parents gettin cash good news we picked up a downstem,70,yo parent gettin cash good news pick downstem
ham,thank you so much when we skyped wit kz and sura we didnt get the pleasure of your company hope you are good we ve given you ultimatum oh we are countin down to aburo enjoy ,179,thank much skype wit kz sura didnt get pleasur compani hope good given ultimatum oh countin aburo enjoy
spam,hungry gay guys feeling hungry and up it now call just p min to stop texts call p min ,120,hungri gay guy feel hungri call p min stop text call p min
ham,ok no wahala just remember that a friend in need ,54,ok wahala rememb friend need
ham,i will see in half an hour,26,see half hour
ham,im in inperialmusic listening the weirdest track ever byåóleafcutter johnåó sounds like insects being molested someone plumbing remixed by evil men on acid ,156,im inperialmus listen weirdest track ever byåóleafcutt johnåó sound like insect molest someon plumb remix evil men acid
ham, hey sorry i didntgive ya a a bellearlier hunny,47,hey sorri didntgiv ya bellearli hunni
ham,seriously tell her those exact words right now ,48,serious tell exact word right
spam,can u get phone now i wanna chat set up meet call me now on u can cum here moro luv jane xx callså minmoremobsemspobox po wa,147,u get phone wanna chat set meet call u cum moro luv jane xx callså minmoremobsemspobox po wa
ham,tee hee off to lecture cheery bye bye ,40,tee hee lectur cheeri bye bye
ham,sorry chikku my cell got some problem thts y i was nt able to reply u or msg u ,81,sorri chikku cell got problem tht nt abl repli u msg u
ham,if you still havent collected the dough pls let me know so i can go to the place i sent it to get the control number,116,still havent collect dough pl let know go place sent get control number
ham,ok ,5,ok
spam,network operator the service is free for t c s visit biz,66,network oper servic free c visit biz
ham,let me know how to contact you i ve you settled in a room lets know you are ok ,81,let know contact settl room let know ok
ham,wot u up u weirdo ,20,wot u u weirdo
ham,can do lor ,13,lor
ham,dont put your phone on silent mode ok,37,dont put phone silent mode ok
ham,can i meet ì at as where depends on where ì wan in lor ,66,meet ì depend ì wan lor
ham,waiting my tv show start lor u leh still busy doing ur report ,69,wait tv show start lor u leh still busi ur report
ham,oh ho is this the first time u use these type of words,55,oh ho first time u use type word
ham,am i the only one who doesn t stalk profiles ,45,one stalk profil
ham,ever green quote ever told by jerry in cartoon a person who irritates u always is the one who loves u vry much but fails to express it gud nyt ,160,ever green quot ever told jerri cartoon person irrit u alway one love u vri much fail express gud nyt
ham,yes i thought so thanks ,25,ye thought thank
ham,but if she s drinkin i m ok ,28,drinkin ok
ham,just wondering the others just took off,40,wonder other took
ham,night has ended for another day morning has come in a special way may you smile like the sunny rays and leaves your worries at the blue blue bay gud mrng,156,night end anoth day morn come special way may smile like sunni ray leav worri blue blue bay gud mrng
ham,what do you do my dog must i always wait till the end of your day to have word from you did you run out of time on your cell already ,138,dog must alway wait till end day word run time cell alreadi
ham,happy new year to u too ,24,happi new year u
ham,hey great deal farm tour am to pm pax deposit by may,70,hey great deal farm tour pm pax deposit may
ham,eat jap done oso aft ur lect wat ìï got lect at rite ,62,eat jap done oso aft ur lect wat ìï got lect rite
ham,hey babe i saw you came online for a second and then you disappeared what happened ,86,hey babe saw came onlin second disappear happen
ham,da my birthdate in certificate is in april but real date is today but dont publish it i shall give you a special treat if you keep the secret any way thanks for the wishes,174,da birthdat certif april real date today dont publish shall give special treat keep secret way thank wish
ham,happy birthday may all ur dreams come true ,48,happi birthday may ur dream come true
ham,aiyah u did ok already lar e nydc at wheellock ,48,aiyah u ok alreadi lar e nydc wheellock
ham,tell her i said eat shit ,25,tell said eat shit
ham,sure i am driving but will reach my destination soon ,54,sure drive reach destin soon
ham,k so am i how much for an th fifty ,38,k much th fifti
ham,your daily text from me ûò a favour this time,46,daili text ûò favour time
ham,great to hear you are settling well so what s happenin wit ola ,64,great hear settl well happenin wit ola
ham,those cocksuckers if it makes you feel better ipads are worthless garbage novelty items and you should feel bad for even wanting one,133,cocksuck make feel better ipad worthless garbag novelti item feel bad even want one
ham,i tot u reach liao he said t shirt ,36,tot u reach liao said shirt
ham,fran i decided go n e way im completely broke an knackered i got up bout c u mrw love janx p s this is my dads fone no credit,132,fran decid go n e way im complet broke knacker got bout c u mrw love janx p dad fone credit
ham,your right i ll make the appointment right now ,48,right make appoint right
ham,designation is software developer and may be she get chennai ,62,design softwar develop may get chennai
spam,enjoy the jamster videosound gold club with your credits for new videosounds logos musicnews get more fun from jamster co uk only help call ,163,enjoy jamster videosound gold club credit new videosound logo musicnew get fun jamster co uk help call
spam,get lions england tone reply lionm mono or lionp poly more go www ringtones co uk the original n best tones gbp network operator rates apply,155,get lion england tone repli lionm mono lionp poli go www rington co uk origin n best tone gbp network oper rate appli
ham,i jokin oni lar ìï busy then i wun disturb ì ,48,jokin oni lar ìï busi wun disturb ì
ham,ok be careful don t text and drive ,39,ok care text drive
ham,i ll always be there even if its just in spirit i ll get a bb soon just trying to be sure i need it ,103,alway even spirit get bb soon tri sure need
ham,u r too much close to my heart if u go away i will be shattered plz stay with me ,83,u r much close heart u go away shatter plz stay
ham,i love u babe r u sure everything is alrite is he being an idiot txt bak girlie,84,love u babe r u sure everyth alrit idiot txt bak girli
ham,how abt making some of the pics bigger ,39,abt make pic bigger
ham,got but got colours lor one colour is quite light n e other is darker lor actually i m done she s styling my hair now ,122,got got colour lor one colour quit light n e darker lor actual done style hair
ham,whenevr ur sad whenevr ur gray remembr im here listn watevr u wanna say jus walk wid me a little while amp i promise i ll bring back ur smile ,154,whenevr ur sad whenevr ur gray remembr im listn watevr u wanna say ju walk wid littl amp promis bring back ur smile
ham,why nothing ok anyway give me treat,36,noth ok anyway give treat
spam,win the newest ûïharry potter and the order of the phoenix book reply harry answer questions chance to be the first among readers ,140,win newest ûïharri potter order phoenix book repli harri answer question chanc first among reader
ham,correct so how was work today,30,correct work today
ham,just sent again do you scream and moan in bed princess ,57,sent scream moan bed princess
